feature,mean_ap_decrease,std_ap_decrease
number_inpatient,0.03200662050930463,0.003368293483713541
discharge_disposition_id,-0.0029772417388318853,0.0010905234995642913
num_lab_procedures,-0.008248024024552159,0.0022051295302469884
diag_1,-0.009954912301667054,0.0029276101539998877
number_emergency,-0.010994663833626813,0.004366452691352656
metformin,-0.011483193754149532,0.001004066998963531
A1Cresult,-0.011831329456468467,0.0006362749406235412
number_outpatient,-0.012550962114651204,0.0018416284016951768
age,-0.012809894376842296,0.00036241717788233546
diag_3,-0.01316636750065131,0.003730712826687334
admission_source_id,-0.013917281477056703,0.0007630893577709328
num_procedures,-0.014083510834833288,0.0011169190305908888
admission_type_id,-0.014375109310527498,0.0007280656908292231
max_glu_serum,-0.014524530328830545,0.0001326739809958237
number_diagnoses,-0.014530858180212075,0.001966495291014978
change,-0.014869670811542751,0.0009098168161999818
diabetesMed,-0.015021403104416436,0.0004796908814368707
num_medications,-0.016227119869830147,0.0029178890395994
diag_2,-0.016350717681759247,0.0026179722168284576
time_in_hospital,-0.01696860198667575,0.0004075148147963348
insulin,-0.017465324297470625,0.0021381303196435484
