attribute,group,n,prevalence,average_precision,roc_auc,brier_score,precision,recall,f1,f2,flagged_fraction,threshold
race,AfricanAmerican,2746,0.11944646758922069,0.2261009976072202,0.6804252657911194,0.10049650830348725,0.16084716657126502,0.8567073170731707,0.2708433734939759,0.4593004249754822,0.6361981063364894,0.08499999999999999
race,Caucasian,11309,0.11619064461932974,0.19910500411344703,0.6456130652845448,0.09954533160121103,0.1425287356321839,0.802130898021309,0.24204845562062235,0.41656786024820175,0.6539039702891503,0.08499999999999999
race,Hispanic,265,0.07547169811320754,0.21467634455935333,0.7442857142857142,0.06679500896795762,0.12025316455696203,0.95,0.21348314606741572,0.39915966386554624,0.5962264150943396,0.08499999999999999
race,Other,190,0.10526315789473684,0.19055689162540945,0.6179411764705882,0.09239352602535056,0.1320754716981132,0.7,0.2222222222222222,0.3763440860215054,0.5578947368421052,0.08499999999999999
race,,305,0.07540983606557378,0.12991673907194987,0.6534073388837496,0.06936513530025241,0.10303030303030303,0.7391304347826086,0.18085106382978725,0.33073929961089493,0.5409836065573771,0.08499999999999999
gender,Female,7972,0.11904164576016056,0.1988639876836097,0.6550515114645887,0.10144668215319227,0.14875876444949782,0.827186512118019,0.25216832637327335,0.4326022263859804,0.6619417962870046,0.08499999999999999
gender,Male,6941,0.11079095231234692,0.20764909132194725,0.6526422443907508,0.09510738068984383,0.14016110471806675,0.7919375812743823,0.2381697301525225,0.41032205902169516,0.6259904912836767,0.08499999999999999
age,[10-20),109,0.03669724770642202,0.07593434343434344,0.7166666666666668,0.03690094310285024,0.043478260869565216,0.25,0.07407407407407407,0.1282051282051282,0.21100917431192662,0.08499999999999999
age,[20-30),228,0.14912280701754385,0.26250033801722605,0.7075500303214068,0.12252034951660602,0.2288135593220339,0.7941176470588235,0.35526315789473684,0.531496062992126,0.5175438596491229,0.08499999999999999
age,[30-40),509,0.12573673870333987,0.2872095428183172,0.7109199438202247,0.10299536103214992,0.18411552346570398,0.796875,0.2991202346041056,0.47842401500938087,0.5442043222003929,0.08499999999999999
age,[40-50),1489,0.10745466756212223,0.2579588741404804,0.7203301354401804,0.08960961114084678,0.15746180963572268,0.8375,0.26508407517309596,0.4493628437290409,0.5715245130960376,0.08499999999999999
age,[50-60),2609,0.09543886546569567,0.21276274081623364,0.7038595058198898,0.08184628494597594,0.1364562118126273,0.8072289156626506,0.23344947735191637,0.40704738760631837,0.564584131851284,0.08499999999999999
age,[60-70),3365,0.10965824665676077,0.17671453323916697,0.6377961943838397,0.09521044853649598,0.13474178403755868,0.7777777777777778,0.22969187675070027,0.39794786466999443,0.6329866270430906,0.08499999999999999
age,[70-80),3783,0.1231826592651335,0.19428127243659465,0.6174635542484354,0.10582146485771336,0.14439738159414708,0.8047210300429185,0.24485798237022527,0.4203093476798924,0.6864922019561195,0.08499999999999999
age,[80-90),2416,0.1320364238410596,0.19586282282445572,0.6094854120605193,0.11243365439565682,0.14657461497610197,0.8652037617554859,0.2506811989100817,0.4368471035137702,0.7793874172185431,0.08499999999999999
age,[90-100),376,0.14095744680851063,0.19729571234420518,0.5855482212746073,0.1200324219228999,0.15671641791044777,0.7924528301886793,0.2616822429906542,0.4375,0.7127659574468085,0.08499999999999999
